stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
70301009616,,"Berlin, Betriebshof Köpenick",,52.439329,13.581879,0,900000180514,
70301009617,,"Berlin, Mayschweg",,52.435895,13.582565,0,900000180515,
70301009618,,"Berlin, Segewaldweg",,52.434435,13.582851,0,900000180516,
70301009619,,"Berlin, Pritstabelstr.",,52.430448,13.583928,0,900000180517,
70301009620,,"Berlin, Dregerhoffstr.",,52.427501,13.585249,0,900000180518,
70301009621,,"Berlin, Zur Nachtheide",,52.424977,13.586452,0,900000180519,
70301009622,,"Berlin, Lienhardweg",,52.421649,13.587964,0,900000180520,
70301009623,,"Berlin, Müggelbergallee",,52.418454,13.588996,0,900000180014,
70301009624,,"Berlin, Wendenschloß",,52.417308,13.589351,0,900000180015,
70301009625,,"Berlin, Wendenschloß",,52.417308,13.589351,0,900000180015,
70301009627,,"Berlin, Müggelbergallee",,52.418454,13.588996,0,900000180014,
70301009628,,"Berlin, Lienhardweg",,52.421649,13.587964,0,900000180520,
70301009629,,"Berlin, Zur Nachtheide",,52.424977,13.586452,0,900000180519,
70301009630,,"Berlin, Dregerhoffstr.",,52.427501,13.585249,0,900000180518,
70301009631,,"Berlin, Pritstabelstr.",,52.430448,13.583928,0,900000180517,
70301009632,,"Berlin, Segewaldweg",,52.434435,13.582851,0,900000180516,
70301009633,,"Berlin, Mayschweg",,52.435895,13.582565,0,900000180515,
70301009634,,"Berlin, Betriebshof Köpenick",,52.439329,13.581879,0,900000180514,
70301009635,,"Berlin, Bahnhofstr./Lindenstr.",,52.450914,13.572409,0,900000180008,
70301009636,,"Berlin, Bahnhofstr./Seelenbinderstr.",,52.455393,13.576879,0,900000180009,
70301009638,,"Berlin, Mahlsdorfer Str./Gehsener Str.",,52.463202,13.583706,0,900000180010,
70301009639,,"Berlin, Wongrowitzer Steig",,52.46707,13.585493,0,900000180526,
70301009640,,"Berlin, Unter den Birken",,52.469864,13.588876,0,900000180525,
70301009641,,"Berlin, Mahlsdorf-Süd",,52.47412,13.598537,0,900000180017,
70301009642,,"Berlin, Hultschiner Damm/Seestr.",,52.477094,13.600603,0,900000176512,
70301009643,,"Berlin, Roseggerstr.",,52.480296,13.601057,0,900000176533,
70301009644,,"Berlin, Erich-Baron-Weg",,52.483481,13.602204,0,900000176534,
70301009645,,"Berlin, Bütower Str.",,52.485821,13.603938,0,900000176535,
70301009646,,"Berlin, Bruchsaler Str.",,52.48874,13.606031,0,900000176536,
70301009647,,"Berlin, Eichenhofweg",,52.490992,13.607645,0,900000176537,
70301009648,,"Berlin, Ledebourstr.",,52.493715,13.609673,0,900000176526,
70301009649,,"Berlin, Rahnsdorfer Str.",,52.498448,13.613189,0,900000176525,
70301009650,,"Berlin, Alt-Mahlsdorf",,52.505116,13.613271,0,900000176524,
